Category,Quantity,Reference,Value,Order Code
Resistors,5,"R1-R3,R5,R6",10k,M10K
Resistors,1,"R4",470,M10K
Resistors,1,"R7",1k,M10K
Capacitors,4,"C1,C2,C4,C5",100n,Maplin DT98G
Capacitors,1,"C3",47n,Maplin DT98G
Capacitors,1,"C6",220u,Maplin VH41U
Capacitors,2,"C7,C8",22p,Maplin WX48C
Transistors,1,"Q1",2N2222,
Transistors,1,"Q3",BC548,
Transistors,1,"Q4",BC558,
Miscellaneous,1,"BAT1",5V,
Miscellaneous,1,"J1",ICSP,
Miscellaneous,1,"J2",Antena,
Miscellaneous,1,"JP1",JUMPER2,
Miscellaneous,1,"MAESTRO1",PIC16F628A,
Miscellaneous,1,"SW1",LLAVE REMOTA,
Miscellaneous,1,"SW2",RESET,
Miscellaneous,1,"TWS",TWS-434,
Miscellaneous,1,"X1",CRYSTAL,
